iter	MultiClass
0	4.301555899
1	4.251971325
2	4.205743006
3	4.151888793
4	4.118359666
5	4.076805407
6	4.036339353
7	3.9982174
8	3.962272089
9	3.925534663
10	3.893210186
11	3.850242052
12	3.8129805
13	3.781359981
14	3.748925698
15	3.714466799
16	3.685326303
17	3.650557721
18	3.621152576
19	3.593870997
20	3.564464684
21	3.535199912
22	3.501276793
23	3.472433411
24	3.443885407
25	3.412822831
26	3.388712129
27	3.358606516
28	3.332359089
29	3.306302497
30	3.281548623
31	3.257949888
32	3.236531135
33	3.208368177
34	3.186977314
35	3.163252813
36	3.140743758
37	3.117443127
38	3.094614849
39	3.070657108
40	3.048215896
41	3.028455207
42	3.009962889
43	2.992776364
44	2.973553486
45	2.953877495
46	2.936615364
47	2.918442545
48	2.900200111
49	2.883546638
50	2.866638278
51	2.847109691
52	2.830852434
53	2.813666067
54	2.796725252
55	2.779857566
56	2.762479362
57	2.746847411
58	2.731786699
59	2.713286686
60	2.697954143
61	2.679750074
62	2.664253467
63	2.645937256
64	2.629679345
65	2.615638604
66	2.599046602
67	2.58487306
68	2.571651776
69	2.557403821
70	2.543680093
71	2.532074694
72	2.517784383
73	2.502367039
74	2.487237918
75	2.473346389
76	2.459767351
77	2.445817515
78	2.433198057
79	2.421862099
80	2.407969249
81	2.395781112
82	2.386114087
83	2.374669167
84	2.362920025
85	2.348285866
86	2.335627318
87	2.325885697
88	2.316533764
89	2.303323192
90	2.292990794
91	2.2860921
92	2.277550928
93	2.266617214
94	2.25800282
95	2.24505341
96	2.23787474
97	2.224216639
98	2.212355069
99	2.203589792
