iter	Passed	Remaining
0	198	198421
1	253	126383
2	306	102019
3	363	90589
4	381	75875
5	435	72222
6	502	71317
7	572	71010
8	637	70174
9	694	68732
10	749	67413
11	805	66342
12	861	65371
13	919	64781
14	990	65063
15	1075	66166
16	1150	66506
17	1228	66998
18	1288	66512
19	1344	65897
20	1402	65371
21	1466	65181
22	1506	63992
23	1565	63673
24	1631	63637
25	1764	66091
26	1846	66536
27	1914	66476
28	1984	66448
29	2046	66180
30	2107	65886
31	2169	65638
32	2230	65351
33	2285	64938
34	2345	64667
35	2403	64370
36	2469	64284
37	2529	64031
38	2584	63682
39	2638	63316
40	2693	62992
41	2746	62655
42	2801	62356
43	2862	62202
44	2917	61919
45	2970	61607
46	3022	61286
47	3075	60995
48	3128	60722
49	3180	60431
50	3231	60123
51	3283	59868
52	3334	59580
53	3401	59592
54	3464	59523
55	3523	59390
56	3577	59186
57	3630	58959
58	3677	58649
59	3728	58413
60	3777	58151
61	3837	58051
62	3891	57881
63	3944	57687
64	3997	57500
65	4049	57311
66	4105	57169
67	4163	57059
68	4224	57006
69	4276	56821
70	4326	56609
71	4375	56391
72	4427	56226
73	4478	56042
74	4532	55901
75	4586	55764
76	4645	55686
77	4698	55533
78	4755	55441
79	4819	55422
80	4877	55335
81	4929	55191
82	4977	54995
83	5034	54901
84	5087	54760
85	5137	54601
86	5192	54489
87	5249	54408
88	5300	54252
89	5348	54078
90	5402	53969
91	5448	53778
92	5495	53600
93	5542	53424
94	5587	53228
95	5631	53028
96	5680	52885
97	5724	52687
98	5775	52564
99	5828	52454
100	5876	52306
101	5929	52200
102	5994	52205
103	6052	52144
104	6101	52010
105	6154	51909
106	6202	51768
107	6251	51630
108	6302	51522
109	6348	51362
110	6393	51208
111	6447	51118
112	6501	51032
113	6556	50955
114	6600	50794
115	6641	50616
116	6696	50535
117	6739	50372
118	6788	50255
119	6841	50167
120	6891	50066
121	6946	49989
122	6991	49853
123	7034	49693
124	7078	49546
125	7123	49409
126	7169	49280
127	7225	49222
128	7279	49150
129	7326	49028
130	7378	48948
131	7421	48802
132	7471	48706
133	7516	48575
134	7564	48468
135	7612	48362
136	7655	48225
137	7710	48160
138	7773	48149
139	7825	48072
140	7892	48079
141	7954	48064
142	8014	48031
143	8069	47967
144	8119	47877
145	8179	47845
146	8243	47837
147	8298	47774
148	8348	47679
149	8389	47542
150	8439	47453
151	8488	47356
152	8543	47294
153	8595	47222
154	8639	47099
155	8689	47010
156	8742	46940
157	8801	46904
158	8876	46952
159	8935	46911
160	8988	46838
161	9040	46765
162	9090	46677
163	9141	46598
164	9189	46502
165	9240	46426
166	9287	46324
167	9341	46260
168	9387	46158
169	9444	46109
170	9498	46047
171	9545	45952
172	9599	45889
173	9664	45878
174	9747	45952
175	9862	46173
176	9933	46189
177	10010	46226
178	10075	46213
179	10147	46226
180	10217	46232
181	10319	46379
182	10393	46399
183	10461	46392
184	10517	46333
185	10565	46239
186	10615	46149
187	10673	46099
188	10726	46025
189	10783	45970
190	10837	45902
191	10886	45812
192	10952	45795
193	11011	45746
194	11069	45696
195	11122	45626
196	11175	45553
197	11222	45454
198	11268	45356
199	11315	45263
200	11369	45193
201	11424	45132
202	11485	45093
203	11535	45010
204	11584	44927
205	11650	44904
206	11720	44899
207	11785	44877
208	11838	44805
209	11884	44709
210	11937	44637
211	11979	44529
212	12028	44444
213	12081	44372
214	12126	44276
215	12180	44209
216	12229	44127
217	12291	44090
218	12342	44016
219	12396	43949
220	12448	43878
221	12509	43840
222	12568	43792
223	12628	43747
224	12691	43715
225	12751	43672
226	12802	43595
227	12859	43543
228	12928	43526
229	12989	43485
230	13058	43473
231	13118	43427
232	13172	43360
233	13225	43295
234	13287	43254
235	13339	43182
236	13393	43119
237	13445	43048
238	13498	42979
239	13553	42919
240	13615	42879
241	13681	42852
242	13757	42858
243	13837	42872
244	13944	42972
245	14083	43167
246	14194	43273
247	14287	43322
248	14356	43298
249	14427	43283
250	14504	43282
251	14586	43297
252	14664	43297
253	14734	43274
254	14800	43240
255	14857	43180
256	14924	43146
257	14983	43090
258	15036	43019
259	15088	42944
260	15141	42871
261	15186	42776
262	15231	42681
263	15282	42605
264	15333	42529
265	15386	42457
266	15443	42397
267	15488	42305
268	15549	42256
269	15596	42168
270	15644	42084
271	15692	42000
272	15747	41936
273	15795	41853
274	15846	41778
275	15902	41714
276	15946	41623
277	15999	41552
278	16043	41460
279	16090	41376
280	16146	41315
281	16197	41241
282	16249	41170
283	16304	41106
284	16353	41027
285	16400	40943
286	16449	40866
287	16499	40790
288	16545	40704
289	16594	40628
290	16644	40552
291	16693	40476
292	16741	40395
293	16790	40319
294	16839	40243
295	16886	40161
296	16940	40097
297	16987	40016
298	17032	39931
299	17084	39862
300	17129	39779
301	17182	39712
302	17233	39641
303	17282	39568
304	17333	39498
305	17380	39418
306	17429	39343
307	17480	39273
308	17528	39198
