iter	Passed	Remaining
0	2	2357
1	4	2200
2	6	2025
3	7	1941
4	9	1842
5	10	1758
6	12	1731
7	13	1714
8	15	1738
9	17	1702
10	18	1677
11	22	1847
12	24	1823
13	25	1786
14	26	1760
15	28	1736
16	29	1720
17	31	1703
18	32	1682
19	33	1655
20	35	1649
21	37	1646
22	39	1670
23	41	1674
24	43	1679
25	44	1678
26	46	1677
27	65	2257
28	66	2236
29	68	2225
30	70	2206
31	72	2188
32	74	2170
33	75	2153
34	77	2136
35	79	2117
36	91	2383
37	93	2357
38	94	2333
39	99	2392
40	101	2374
41	102	2347
42	104	2326
43	106	2307
44	107	2285
45	109	2272
46	111	2257
47	115	2295
48	117	2275
49	118	2253
50	119	2231
51	121	2209
52	122	2189
53	124	2173
54	125	2159
55	127	2144
56	128	2132
57	130	2118
58	131	2103
59	133	2092
60	134	2076
61	136	2062
62	137	2050
63	139	2041
64	140	2027
65	142	2015
66	144	2007
67	145	1998
68	147	1989
69	148	1977
70	150	1965
71	151	1954
72	153	1943
73	154	1931
74	155	1921
75	157	1910
76	158	1900
77	160	1891
78	161	1883
79	162	1872
80	164	1864
81	165	1855
82	166	1839
83	167	1830
84	169	1822
85	170	1814
86	172	1805
87	173	1798
88	175	1792
89	176	1785
90	178	1778
91	179	1775
92	181	1768
93	182	1761
94	184	1755
95	185	1750
96	187	1744
97	188	1739
98	190	1734
99	192	1730
100	193	1723
101	195	1718
102	197	1720
103	199	1717
104	201	1714
105	202	1709
106	204	1707
107	206	1704
108	208	1700
109	209	1696
110	211	1696
111	213	1695
112	215	1691
113	217	1687
114	219	1689
115	221	1687
116	222	1681
117	224	1679
118	226	1674
119	227	1671
120	229	1668
121	230	1661
122	233	1661
123	234	1658
124	236	1654
125	238	1656
126	240	1650
127	241	1646
128	243	1642
129	244	1637
130	246	1633
131	248	1631
132	250	1630
133	251	1627
134	253	1623
135	254	1618
136	256	1614
137	257	1609
138	259	1607
139	261	1603
140	262	1601
141	264	1596
142	265	1592
143	267	1588
144	268	1586
145	270	1583
146	272	1579
147	273	1575
148	275	1571
149	277	1569
150	278	1567
151	280	1564
152	281	1560
153	283	1556
154	284	1553
155	286	1549
156	287	1545
157	289	1540
158	290	1536
159	292	1533
160	293	1527
161	294	1523
162	296	1519
163	297	1516
164	298	1513
165	300	1509
166	301	1505
167	303	1501
168	305	1499
169	306	1496
170	308	1495
171	310	1493
172	312	1493
173	314	1491
174	315	1488
175	317	1484
176	318	1481
177	320	1481
178	322	1478
179	323	1475
180	325	1473
181	326	1469
182	328	1465
183	329	1462
184	331	1458
185	332	1455
186	334	1452
187	335	1450
188	337	1450
189	340	1450
190	341	1446
191	342	1443
192	344	1439
193	345	1436
194	346	1432
195	348	1428
196	350	1427
197	352	1426
198	354	1426
199	355	1422
200	357	1419
201	358	1415
202	359	1413
203	361	1409
204	362	1406
205	363	1402
206	365	1400
207	367	1398
208	368	1395
209	370	1392
210	371	1389
211	372	1385
212	374	1382
213	375	1379
214	376	1376
215	378	1372
216	383	1384
217	385	1381
218	387	1380
219	388	1378
220	390	1377
221	392	1374
222	397	1385
223	399	1383
224	400	1380
225	402	1376
226	403	1374
227	405	1371
228	406	1368
229	408	1366
230	410	1365
231	411	1362
232	413	1359
233	414	1357
234	416	1355
235	417	1352
236	419	1349
237	420	1346
238	421	1342
239	423	1342
240	425	1340
241	427	1338
242	428	1335
243	430	1332
244	431	1329
245	433	1327
246	434	1324
247	435	1321
248	437	1319
249	439	1317
250	440	1314
251	442	1312
252	443	1309
253	445	1307
254	446	1305
255	448	1303
256	449	1300
257	451	1297
258	452	1295
259	454	1293
260	455	1291
261	457	1288
262	459	1286
263	460	1284
264	461	1281
265	464	1280
266	465	1277
267	466	1274
268	468	1272
269	469	1270
270	471	1268
271	472	1265
272	474	1263
273	475	1260
274	477	1258
275	478	1255
276	480	1253
277	481	1250
278	483	1250
279	485	1248
280	486	1245
281	488	1243
282	489	1240
283	491	1238
284	492	1235
285	493	1233
286	495	1230
287	497	1228
288	500	1230
289	501	1227
290	503	1225
291	504	1223
292	506	1221
293	507	1219
294	509	1217
295	510	1215
296	514	1218
297	516	1216
298	518	1214
299	519	1212
300	521	1210
301	522	1208
302	524	1206
303	525	1203
304	527	1202
305	529	1200
306	530	1198
307	532	1196
308	534	1194
309	535	1192
310	537	1190
311	538	1188
312	540	1185
313	542	1184
314	543	1182
315	545	1180
316	547	1178
317	548	1176
318	550	1174
319	551	1172
320	553	1170
321	554	1167
322	556	1165
323	557	1164
324	559	1162
325	561	1161
326	563	1159
327	565	1157
328	566	1155
329	568	1153
330	569	1151
331	572	1151
332	573	1149
333	575	1147
334	577	1146
335	579	1144
336	581	1143
337	582	1140
338	584	1139
339	586	1137
340	587	1135
341	589	1133
342	590	1131
343	592	1130
344	594	1128
345	595	1126
346	597	1124
347	600	1124
348	601	1122
349	603	1120
350	605	1118
351	606	1116
352	608	1114
353	609	1112
354	611	1110
355	613	1110
356	616	1109
357	617	1108
358	619	1106
359	621	1104
360	622	1102
361	624	1100
362	626	1099
363	628	1097
364	630	1096
365	632	1094
366	633	1093
367	635	1091
368	636	1088
369	638	1086
370	639	1084
371	641	1082
372	643	1081
373	644	1079
374	646	1077
375	648	1076
376	649	1073
377	651	1071
378	653	1070
379	655	1068
380	656	1067
381	658	1065
382	660	1064
383	662	1062
384	663	1060
385	665	1058
386	666	1056
387	668	1054
388	670	1052
389	671	1050
390	673	1049
391	675	1048
392	677	1046
393	678	1044
394	680	1042
395	682	1040
396	683	1038
397	684	1035
398	686	1034
399	688	1032
400	690	1030
401	691	1028
402	693	1026
403	694	1024
404	696	1022
405	697	1020
406	698	1018
407	700	1016
408	702	1015
409	704	1013
410	706	1011
411	707	1009
412	709	1007
413	710	1006
414	712	1004
415	713	1002
416	715	1000
417	717	999
418	719	997
419	720	995
420	722	993
421	723	991
422	725	989
423	726	987
424	728	985
425	729	983
426	732	982
427	734	981
428	736	979
429	737	978
430	739	976
431	741	975
432	743	973
433	746	973
434	748	971
435	749	969
436	751	967
437	752	965
438	754	963
439	755	961
440	756	959
441	759	958
442	761	956
443	762	954
444	764	953
445	766	951
446	767	949
447	768	947
448	770	945
449	771	942
450	773	941
451	775	939
452	776	937
453	777	935
454	779	933
455	780	931
456	782	929
457	783	926
458	784	924
459	785	922
460	787	920
461	789	919
462	790	916
463	792	914
464	793	912
